Type,X1,Y1,Id,ControlType
PZRHeater,739.0,363.0,Btn_h_OFF,ONOFF
V056,58.0,17.0,valve_h_o,ONOFF
V055,125.0,47.0,valve_h_c,ONOFF
V054,180.0,17.0,valve_h_o,ONOFF
V057,182.0,83.0,valve_h_o,ONOFF
V058,126.0,112.0,valve_h_c,ONOFF
V059,60.0,83.0,valve_h_o,ONOFF
V084,492.0,422.0,valve_v_c,REGULAR
V083,538.0,315.0,valve_v_o,ONOFF
V082,535.0,498.0,valve_v_o,ONOFF
BLV143,405.0,47.0,valve_b_o,ONOFF
LV459,640.0,426.0,valve_v_o,ONOFF
LV460,639.0,563.0,valve_v_o,ONOFF
HV1,597.0,132.0,valve_v_o,ONOFF
HV2,641.0,131.0,valve_v_o,ONOFF
HV3,684.0,131.0,valve_v_c,ONOFF
BPV145,456.0,15.0,valve_h_h,ONOFF
BLV614,75.0,251.0,valve_b_c,ONOFF
LV616,84.0,444.0,valve_v_o,ONOFF
CHP1,171.0,615.0,pump_r_start,ONOFF
CHP2,170.0,666.0,pump_r_stop,ONOFF
CHP3,168.0,717.0,pump_r_stop,ONOFF
BFV122,536.0,422.0,valve_v_h,PID
PZRMode,739.0,406.0,Btn_v_A,ONOFF
