,0
ZINST1,109.301506
UOVER,7.073688507
ZINST58,181.5685318
ZINST64,90.82212372
ZINST79,145.1394577
ZINST80,145.2487427
ZINST81,143.1912613
ZINST76,110
ZINST77,110
ZINST78,110
KZROD17,250.8
KZROD50,250.8
KBCDO4,250.8
KZROD20,250.8
ZBANK,250.8
KZROD21,250.8
KZROD22,250.8
KZROD51,250.8
KZROD52,250.8
KBCDO3,250.8
KBCDO16,684.2
ZINST125,30.8192709
WBOAC,0.925503641
ZINST35,0.925503641
CBORON,0.000684616
USUBMA,272.1463211
KBCDO15,271.7
CXENOR,1.910914648
CXENON,1.529966545
UOVER,7.073688507
ZINST13,7.073688507
CXEMPCM,6447.969043
ZINST11,6447.969043
ZINST80,145.2487427
ZINST81,143.1912613
WSGRCP2,6681.198584
WSGRCP1,6586.628125
ZINST79,145.1394577
WSGRCP3,6676.213135
SIGMAA,0.034450306
ZINST15,214.9961548
TCIRCD,93562.53672
WDEWT,9.811799717
ZINST37,9.811799717
ZINST126,98.11799927
PCDTB,212566.2688
ZINST114,1.069043696
ZAFWTK,10.69043722
EAFWTK,3634748.7
ZINST51,321.140448
UCOLEG1,321.3272278
UCOLEGM,322.6425751
ZINST49,323.1150635
UCOLEG3,323.3041931
ZINST50,323.1059998
UCOLEG2,323.2963379
UCOOL,323.7114227
PSG2,7906139.45
ZINST74,80.67503662
ZINST10,109.2238182
CIODMPC,109.2238182
UAVLEG1,339.4289551
ZINST61,339.4289215
UAVLMO,340.0358551
ZINST7,340.0358551
UAVLEGM,340.0358215
UAVLEG3,340.3394897
ZINST59,340.3394562
ZINST60,340.3390869
UAVLEG2,340.3390198
ZINST62,379.2384277
UPRZ,379.2384277
CIOD,0.849184281
ZINST53,359.2669891
UHOLEG2,359.2668549
UHOLEGM,359.2660492
UHOLEG1,359.2656464
UHOLEG3,359.2656464
ZINST54,359.2656464
ZINST52,359.2657806
UUPPPL,359.2655121
ZINST46,359.2656464
ZPRZUN,9.082285595
ZINST64,90.82212372
ZPRZ,11
ZPRZNO,1.1
ZINST63,110
PPRZW,17793306.3
PPRZ,17793306.3
PPRZCO,853683.6
PPRZLP,853683.6
PPRZN,17793683.6
ZINST58,181.5685318
ZINST65,181.5685318
PLETIN,17464749.5
UFUEL19,517.5816895
UFUEL18,548.9024841
UFUEL17,597.9564148
VRWST,3791334.8
CBRWIN,2369.069946
